Unnamed: 0,governorate,city_area,hotel_name,star_rating,latitude,longitude,num_reviews,avg_review_score,source,amenities,image_url,clean_price,reviews_bucket,property_type,accommodation_type,double_clean_price,single_RO,single_BB,single_HB,single_FB,single_AI,double_RO,double_BB,double_HB,double_FB,double_AI,single_RO_str,double_RO_str,single_BB_str,double_BB_str,single_HB_str,double_HB_str,single_FB_str,double_FB_str,single_AI_str,double_AI_str,score_review,score_reviews_count,score_price,best_value_score,single_FB_PriceUSD,double_FB_PriceUSD,single_FB_USD,double_FB_USD,core_score,comfort_score,leisure_score,amenity_score_0_1,price_usd,type_norm,median_price_usd,comp_stars,comp_type,comp_facilities,comp_price_lux,score,normalized_type,review_norm,amenities_norm,comfort_norm,leisure_norm,review_count_conf,base_quality_score,quality_score,price_usd_final,price_log,price_norm,type_luxury_score,type_business_score,type_economic_score,luxury_score,business_score,value_score_raw,value_score,economic_score,cluster_id,cluster_segment,premium_final_score,business_final_score,economic_final_score,market_segment,segment_confidence_rule,pca_1,pca_2,segment_confidence_cluster,segment_confidence,address
0,Aswan,Aswan,Pajama Hostel Nile View,3,24.0883968,32.89404687,18.0,9.8,Booking,ac; bar; parking; wifi,https://cf.bstatic.com/xdata/images/hotel/square240/767665411.webp?k=55d690127cc540a39030557feb92980cd07a2d5cde82586755c1e63f4fcf5cea&o=,711,Low,Hostel,Hostel,1263,631,730,864,917,946,1192,1277,1426,1573,1821,EGP 631,"EGP 1,192",EGP 730,"EGP 1,277",EGP 864,"EGP 1,426",EGP 917,"EGP 1,573",EGP 946,"EGP 1,821",0.965517241,0.001307793,0.984458448,0.680989708,19.54807077,33.53229589,19.5106383,33.46808511,1.0,0.0,0.25,0.55,26.4893617,hostel,24.86170213,0.5,0.3,0.1625,0.5782,3.87,hostel,0.98,0.55,0.0,0.25,0.4261895338914151,0.6250000000000001,0.6051189533891417,26.4893617,3.3137990825550894,0.1471073827711246,0.15,0.05,1.0,0.2612107382771125,0.3568553691385562,0.182605806300896,0.6284370332396004,0.7760433804185495,0,Economic,0.0,0.0292193146793484,0.8091451878714037,Economic,0.7799258731920553,4.392856843551538,-1.9414180631233204,0.4887733271364428,0.634349600164249,"8, شارع عباس فريد, عبد العظيم حسن, أسوان, 81511, مصر"
1,Aswan,Aswan,Crystala guest house,4,24.08944943,32.89046361,239.0,9.7,Booking,ac; bar; family_rooms; restaurant; shuttle; wifi,https://cf.bstatic.com/xdata/images/hotel/square240/527650430.webp?k=ec6479c656dac4fe4e4fce1c8a57528b924aa46265710864cdd811a384a95253&o=,1659,High,Guest House,Guest House,2438,1436,1615,2045,2140,2392,2089,2450,2840,3153,3192,"EGP 1,436","EGP 2,089","EGP 1,615","EGP 2,450","EGP 2,045","EGP 2,840","EGP 2,140","EGP 3,153","EGP 2,392","EGP 3,192",0.948275862,0.018309101,0.957670463,0.671634484,45.61927094,67.21381369,45.53191489,67.08510638,0.666666667,1.0,0.25,0.6833,56.30851064,guest house,56.30851064,0.75,0.6,0.5125,0.5,6.23,guest_house,0.97,0.6833,1.0,0.25,0.7932889642792068,0.8466600000000001,0.8413228964279207,56.30851064,4.048449140440231,0.3226272888420626,0.25,0.15,0.85,0.5060867288842064,0.6846273644421031,0.207813626216491,0.7939902877070361,0.7850034325718422,0,Economic,0.0,0.4341171460593497,0.8133828532404532,Economic,0.3792657071811035,3.4151232217219047,1.8094988873240876,0.5514502113693321,0.4653579592752178,"(dishonest), loop from Nubialin, Koti, أسوان, 81529, مصر"
2,Aswan,Aswan,Labib Guest House,5,24.08763269,32.88506812,240.0,9.4,Booking,ac; family_rooms; wifi,https://cf.bstatic.com/xdata/images/hotel/square240/624814004.webp?k=511c1f4fb6795eec0b00b1c6259bdddc28d928962af428530af6d8852c910c6a&o=,1090,High,Guest House,Guest House,1782,929,1121,1339,1343,1457,1670,1833,2220,2339,2363,EGP 929,"EGP 1,670","EGP 1,121","EGP 1,833","EGP 1,339","EGP 2,220","EGP 1,343","EGP 2,339","EGP 1,457","EGP 2,363",0.896551724,0.01838603,0.973748905,0.652401311,28.62929013,49.86143679,28.57446809,49.76595745,0.666666667,0.333333333,0.0,0.4333,39.17021277,guest house,76.39361702,1.0,0.6,0.1167,0.0,5.49,guest_house,0.94,0.4333,0.333333333,0.0,0.7938908108176181,0.6233266666,0.6403830810217618,39.17021277,3.693125745096023,0.237734722229929,0.25,0.15,0.85,0.2517641388329929,0.4827160693514964,0.1733986669346704,0.5679688177605263,0.7277804498723746,0,Economic,0.0,0.28661140937618,0.7478887560519346,Economic,0.4612773466757545,3.843240608382093,-1.566397069031134,0.5564098247939309,0.5088435857348427,"Labib, loop from Nubialin, Koti, أسوان, 81529, مصر"
3,Aswan,Aswan,Palm Guest House,3,24.08724065,32.88479553,52.0,9.3,Booking,ac; shuttle; wifi,https://cf.bstatic.com/xdata/images/hotel/square240/650943945.webp?k=db7eac3b534e42a0fef14a037326fd9b10c773808071713d0f592483084b71ec&o=,1344,Medium,Guest House,Guest House,1858,1167,1328,1597,1700,1825,1720,1805,2086,2320,2597,"EGP 1,167","EGP 1,720","EGP 1,328","EGP 1,805","EGP 1,597","EGP 2,086","EGP 1,700","EGP 2,320","EGP 1,825","EGP 2,597",0.879310345,0.003923379,0.966571534,0.638509552,36.23960776,49.45640588,36.17021277,49.36170213,0.666666667,0.333333333,0.0,0.4333,42.76595745,guest house,40.57446809,0.5,0.6,0.1167,0.5649,4.34,guest_house,0.93,0.4333,0.333333333,0.0,0.5746754719734962,0.6183266666,0.6139615471373496,42.76595745,3.77885628801582,0.258217150127656,0.25,0.15,0.85,0.2538123816227656,0.4817401907463828,0.1624728490163686,0.496213119721187,0.6959273165906192,0,Economic,0.0,0.2830699914401074,0.7201416882180476,Economic,0.4370716967779401,3.711292810643245,-1.8597406079189944,0.4996407022605464,0.4683561995192433,"Palm, loop from Nubialin, Koti, أسوان, 81529, مصر"
4,Aswan,Aswan,The Mango Guest House,4,24.08943244,32.8891016,1291.0,9.2,Booking,ac; bar; family_rooms; parking; restaurant; shuttle; wifi,https://cf.bstatic.com/xdata/images/hotel/square240/528922885.webp?k=35b119af811c4a54523704f5e39e127d6133190ec24b18014b2bab5f8eac99ad&o=,1493,Very High,Guest House,Guest House,2249,1360,1461,1729,1874,2077,2085,2274,2649,2791,3372,"EGP 1,360","EGP 2,085","EGP 1,461","EGP 2,274","EGP 1,729","EGP 2,649","EGP 1,874","EGP 2,791","EGP 2,077","EGP 3,372",0.862068966,0.099238403,0.962361186,0.658292852,39.9488382,59.49690897,39.87234043,59.38297872,1.0,1.0,0.25,0.85,49.62765957,guest house,56.30851064,0.75,0.6,0.5125,0.3443,6.0,guest_house,0.92,0.85,1.0,0.25,1.0,0.8550000000000001,0.8695,49.62765957,3.9244980587628526,0.2930133495523361,0.25,0.15,0.85,0.5498013349552336,0.6931506674776169,0.2215569958197657,0.8842503567169444,0.8253349549404633,0,Economic,0.0,0.4407372536414943,0.8483660049968537,Economic,0.4076287513553593,3.4213438399183542,2.524159065744704,0.4619646051888826,0.434796678272121,"Mango Guesthouse, Main Street, Siou, أسوان, 81529, مصر"
5,Aswan,Aswan,Artika Wadi Kiki Hotel,5,24.05849453,32.86415549,563.0,9.2,Booking,ac; bar; family_rooms; parking; restaurant; shuttle; wifi,https://cf.bstatic.com/xdata/images/hotel/square240/427141973.webp?k=51f610338956a0b75e97964e981681b51f7eba2585348b06ef4013e63116ec5a&o=,3828,Very High,Hotel,Hotel,4549,3554,3759,4543,4934,5012,4061,4536,5192,6001,6545,"EGP 3,554","EGP 4,061","EGP 3,759","EGP 4,536","EGP 4,543","EGP 5,192","EGP 4,934","EGP 6,001","EGP 5,012","EGP 6,545",0.862068966,0.043234095,0.896380231,0.624996321,105.1801322,127.9258154,104.9787234,127.6808511,1.0,1.0,0.25,0.85,116.3297872,hotel,117.2074468,1.0,0.85,0.5125,0.4907,7.72,hotel,0.92,0.85,1.0,0.25,0.9169603573809252,0.8550000000000001,0.8611960357380926,116.3297872,4.764988663745999,0.4938202922004127,0.65,1.0,0.25,0.6498820292200413,0.9156910146100208,0.1807341205846779,0.6161446706831532,0.5405061798728303,2,Business,0.5821816291570627,1.0,0.4684891492999861,Business,0.4178183708429372,0.393413851264504,2.017652914621392,0.2663948889712559,0.3421066299070966,"غرب سهيل, أسوان, 81531, مصر"
6,Aswan,Aswan,Baba Dool,4,24.09270535,32.89002931,352.0,9.2,Booking,ac; family_rooms; restaurant; shuttle; wifi,https://cf.bstatic.com/xdata/images/hotel/square240/334687181.webp?k=50d38b479b088872c16807511b8c601a5776ce138f99f76bdea6500220e2de5c&o=,1161,High,Other,Nubian Guest House,1781,1057,1138,1310,1558,1734,1553,1736,2152,2312,2413,"EGP 1,057","EGP 1,553","EGP 1,138","EGP 1,736","EGP 1,310","EGP 2,152","EGP 1,558","EGP 2,312","EGP 1,734","EGP 2,413",0.862068966,0.027002077,0.971742632,0.638967316,33.21253464,49.28586655,33.14893617,49.19148936,0.666666667,1.0,0.0,0.6333,41.17021277,nubian guest house,49.79787234,0.75,0.6,0.35,0.2654,5.47,guest_house,0.92,0.6333,1.0,0.0,0.8491353716153704,0.7866599999999999,0.792907537161537,41.17021277,3.7417141132757377,0.2493432775243969,0.25,0.15,0.85,0.4222583277524397,0.6899631638762198,0.2119102403757337,0.8208949470004967,0.8292353296614482,0,Economic,0.0,0.4503349067323479,0.8379508920119131,Economic,0.3876159852795652,3.889460813529223,1.5418223270144722,0.5771084987196609,0.482362241999613,"loop from Nubialin, Siou, أسوان, 81511, مصر"
7,Aswan,Aswan,Zena Toma Nubian Guest House,4,24.05635286,32.86326467,20.0,9.2,Booking,ac; bar; family_rooms; parking; restaurant,https://cf.bstatic.com/xdata/images/hotel/square240/692755411.webp?k=0690ad8119b9e5741e216924bbeabcd9330280f0b4d9394410c66a7d988b1cfb&o=,2692,Low,Guest House,Guest House,3244,2506,2660,3049,3507,3737,3066,3176,3816,4352,4490,"EGP 2,506","EGP 3,066","EGP 2,660","EGP 3,176","EGP 3,049","EGP 3,816","EGP 3,507","EGP 4,352","EGP 3,737","EGP 4,490",0.862068966,0.001461651,0.928480601,0.62048968,74.76017907,92.77339586,74.61702128,92.59574468,0.666666667,0.666666667,0.25,0.5833,83.60638298,guest house,56.30851064,0.75,0.6,0.3958,0.9874,6.67,guest_house,0.92,0.5833,0.666666667,0.25,0.4406760024018668,0.7349933334,0.7055616003001866,83.60638298,4.43800971270222,0.415699676597942,0.25,0.15,0.85,0.4307273010497942,0.5739476505898972,0.1589815358629721,0.4732837963268948,0.6405655534248433,0,Economic,0.0,0.3424341659601833,0.6870152780779644,Economic,0.344581112117781,2.9508938690535724,-0.5022319852929424,0.6258770256427463,0.4852290688802636,"شارع 6, نجع المحطة, أسوان, 81531, مصر"
8,Aswan,Aswan,Kana Kato,4,24.08817028,32.88882964,798.0,9.1,Booking,ac; bar; family_rooms; restaurant; shuttle; wifi,https://cf.bstatic.com/xdata/images/hotel/square240/497558049.webp?k=4f092c5b2f310a97473ada9605d67b27fa876fa4b9ff73971448c7bb39f5adfb&o=,1659,Very High,Other,Nubian Guest House,2430,1430,1659,1865,2217,2243,2221,2415,2808,3275,3358,"EGP 1,430","EGP 2,221","EGP 1,659","EGP 2,415","EGP 1,865","EGP 2,808","EGP 2,217","EGP 3,275","EGP 2,243","EGP 3,358",0.844827586,0.061312409,0.957670463,0.637983752,47.260712,69.81453848,47.17021277,69.68085106,0.666666667,1.0,0.25,0.6833,58.42553191,nubian guest house,49.79787234,0.75,0.6,0.5125,0.697,6.53,guest_house,0.91,0.6833,1.0,0.25,0.9673756211142748,0.81666,0.8317315621114275,58.42553191,4.0847239641527695,0.3312939371087126,0.25,0.15,0.85,0.5069533937108713,0.6730606968554356,0.2036200167773003,0.766448608460356,0.7726713817505247,0,Economic,0.0,0.4285708522584367,0.8026560336768993,Economic,0.3740851814184626,3.359029412546552,1.6779912273589035,0.5724110522300445,0.4732481168242535,"Masa, Main Street, Siou, أسوان, 81529, مصر"
9,Aswan,Aswan,Bob Marley Guest House,4,24.09060421,32.89117355,739.0,9.1,Booking,ac; bar; family_rooms; restaurant; shuttle; wifi,https://cf.bstatic.com/xdata/images/hotel/square240/608252639.webp?k=17b008548d1ac07aa489930c6a3dc020f3421a41a68031132a1986a8acbc0315&o=,1062,Very High,Guest House,Guest House,1786,973,1050,1261,1361,1420,1678,1757,2050,2152,2555,EGP 973,"EGP 1,678","EGP 1,050","EGP 1,757","EGP 1,261","EGP 2,050","EGP 1,361","EGP 2,152","EGP 1,420","EGP 2,555",0.844827586,0.056773598,0.974540111,0.640839521,29.01300362,45.87507994,28.95744681,45.78723404,0.666666667,1.0,0.25,0.6833,37.37234043,guest house,56.30851064,0.75,0.6,0.5125,0.0,5.48,guest_house,0.91,0.6833,1.0,0.25,0.956272207833819,0.81666,0.830621220783382,37.37234043,3.647336898749976,0.2267950184573726,0.25,0.15,0.85,0.4965035018457373,0.6678357509228686,0.2277336160166763,0.9248155296923044,0.8488885537791703,0,Economic,0.0,0.426452131844696,0.8673183310037867,Economic,0.4408661991590907,3.816549485321208,2.08576595517323,0.5103168102268809,0.4755915046929858,"Bob Marley Guest house and restaurant a, loop from Nubialin, Koti, أسوان, 81529, مصر"
